Volcano,VEI,Lon,Lat,Time Eruption,Max Plume Height km,SO2 kt
Cameroon,2,9.17,4.203,30 Mar 1999,9,45
Shishaldin,3,-163.97,54.75,19 Apr 1999,13.7,63
Soufriere_Hills,3,-62.18,16.72,20 Jul 1999,11.1,16
Tungurahua,3,-78.442,-1.467,16 Nov 1999,15,6
Nyamuragira,2,29.2,-1.408,28 Jan 2000,6,21
Nyamuragira,2,29.2,-1.408,29 Jan 2000,7,79
Nyamuragira,2,29.2,-1.408,30 Jan 2000,7,54
Nyamuragira,2,29.2,-1.408,31 Jan 2000,7,52
Nyamuragira,2,29.2,-1.408,01 Feb 2000,7,3
Nyamuragira,2,29.2,-1.408,03 Feb 2000,7,35
Nyamuragira,2,29.2,-1.408,05 Feb 2000,7,31
Nyamuragira,2,29.2,-1.408,06 Feb 2000,7,4.2
Nyamuragira,2,29.2,-1.408,07 Feb 2000,7,13
Nyamuragira,2,29.2,-1.408,08 Feb 2000,7,2.3
Nyamuragira,2,29.2,-1.408,10 Feb 2000,7,16
Nyamuragira,2,29.2,-1.408,11 Feb 2000,7,6.5
Hekla,3,-19.7,63.98,26 Feb 2000,11,183
Soufriere_Hills,3,-62.18,16.72,20 Mar 2000,9,3.4
Miyakejima,3,139.53,34.08,18 Aug 2000,16,64
Ulawun,4,151.33,-5.05,28 Sep 2000,16,37
Popocatepetl,3,-98.622,19.023,15 Dec 2000,15.465,23
Popocatepetl,3,-98.622,19.023,15 Dec 2000,15.465,26
Popocatepetl,3,-98.622,19.023,23 Jan 2001,12,17
Nyamuragira,2,29.2,-1.408,6 Feb 2001,10,735
Nyamuragira,2,29.2,-1.408,7 Feb 2001,6,85
Nyamuragira,2,29.2,-1.408,8 Feb 2001,8,266
Nyamuragira,2,29.2,-1.408,9 Feb 2001,9,111
Nyamuragira,2,29.2,-1.408,10 Feb 2001,5,87
Nyamuragira,2,29.2,-1.408,11 Feb 2001,4,32
Nyamuragira,2,29.2,-1.408,12 Feb 2001,4,42
Nyamuragira,2,29.2,-1.408,13 Feb 2001,5,58
Nyamuragira,2,29.2,-1.408,14 Feb 2001,5,44
Nyamuragira,2,29.2,-1.408,15 Feb 2001,6,46
Nyamuragira,2,29.2,-1.408,16 Feb 2001,6,27
Nyamuragira,2,29.2,-1.408,17 Feb 2001,6,14
Nyamuragira,2,29.2,-1.408,19 Feb 2001,6,10
Nyamuragira,2,29.2,-1.408,21 Feb 2001,6,10
Nyamuragira,2,29.2,-1.408,22 Feb 2001,6,5
Nyamuragira,2,29.2,-1.408,23 Feb 2001,6,9
Nyamuragira,2,29.2,-1.408,24 Feb 2001,6,4
Nyamuragira,2,29.2,-1.408,25 Feb 2001,4,20
Nyamuragira,2,29.2,-1.408,28 Feb 2001,4,7
Nyamuragira,2,29.2,-1.408,02 Mar 2001,7,20
Nyamuragira,2,29.2,-1.408,06 Mar 2001,7,1
Nyamuragira,2,29.2,-1.408,07 Mar 2001,6,18
Cleveland,3,-169.95,52.82,19 Feb 2001,10,6
Popocatepetl,3,-98.622,19.023,29 Apr 2001,9,4
Ulawun,3,151.33,-5.05,30 Apr 2001,14,30
Etna,2,15.004,37.734,25 Jul 2001,8.35,5
Etna,2,15.004,37.734,27 Jul 2001,8.35,5
Soufriere_Hills,3,-62.18,16.72,30 Jul 2001,10.915,33
Tungurahua,3,-78.442,-1.467,6 Aug 2001,13,32
Nyiragongo,1,29.25,-1.52,17 Jan 2002,8.469,30
Manam,3,145.061,-4.1,19 May 2002,9,10
Nyamuragira,2,29.2,-1.408,25 Jul 2002,5,7
Nyamuragira,2,29.2,-1.408,26 Jul 2002,5,343
Nyamuragira,2,29.2,-1.408,27 Jul 2002,6,230
Nyamuragira,2,29.2,-1.408,28 Jul 2002,10,762
Nyamuragira,2,29.2,-1.408,29 Jul 2002,10,314
Nyamuragira,2,29.2,-1.408,30 Jul 2002,5,90
Nyamuragira,2,29.2,-1.408,31 Jul 2002,5,159
Nyamuragira,2,29.2,-1.408,01 Aug 2002,5,249
Nyamuragira,2,29.2,-1.408,02 Aug 2002,5,167
Ulawun,2,151.33,-5.05,27 Aug 2002,12.334,10
Ruang,4,125.37,2.3,26 Sep 2002,22,80
Etna,3,15.004,37.734,27 Oct 2002,13.4,80
Reventador,4,-77.656,-0.078,3 Nov 2002,17,84
Papandayan,2,107.73,-7.32,13 Nov 2002,12.7,7
Piton,2,55.713,-21.229,17 Nov 2002,7.6,4
Tungurahua,3,-78.442,-1.467,8 Mar 2003,15,12
Anatahan,3,145.67,16.35,11 May 2003,15,114
Anatahan,2,145.67,16.35,24 May 2003,5,17
Anatahan,2,145.67,16.35,25 May 2003,5,14
Anatahan,2,145.67,16.35,26 May 2003,5,24
Anatahan,2,145.67,16.35,27 May 2003,5,35
Anatahan,2,145.67,16.35,28 May 2003,5,44
Anatahan,2,145.67,16.35,29 May 2003,5,50
Anatahan,2,145.67,16.35,30 May 2003,5,58
Anatahan,2,145.67,16.35,31 May 2003,5,29
Anatahan,2,145.67,16.35,01 Jun 2003,5,19
Anatahan,2,145.67,16.35,02 Jun 2003,5,8
Anatahan,2,145.67,16.35,03 Jun 2003,5,16
Anatahan,2,145.67,16.35,04 Jun 2003,5,3
Anatahan,2,145.67,16.35,05 Jun 2003,5,5
Anatahan,2,145.67,16.35,06 Jun 2003,5,4
Anatahan,2,145.67,16.35,07 Jun 2003,5,4
Anatahan,2,145.67,16.35,08 Jun 2003,5,7
Anatahan,2,145.67,16.35,09 Jun 2003,5,9
Anatahan,2,145.67,16.35,10 Jun 2003,5,8
Anatahan,2,145.67,16.35,11 Jun 2003,5,8
Anatahan,2,145.67,16.35,12 Jun 2003,5,9
Anatahan,2,145.67,16.35,13 Jun 2003,5,9
Lopevi,3,168.346,-16.507,9 Jun 2003,12,50
Soufriere_Hills,3,-62.18,16.72,13 Jul 2003,16,100
Bezymianny,3,160.587,55.978,26 Jul 2003,11,2
Gamalama,2,127.33,0.8,31 Jul 2003,11.7,5
Soputan,2,124.725,1.108,1 Sep 2003,11.7,16
Bezymianny,3,160.587,55.978,14 Jan 2004,6,1
Soufriere_Hills,3,-62.18,16.72,3 Mar 2004,7,5
Sheveluch,3,161.36,56.653,10 May 2004,11,1
Nyamuragira,2,29.2,-1.408,8 May 2004,4,89
Nyamuragira,2,29.2,-1.408,10 May 2004,6,317
Nyamuragira,2,29.2,-1.408,11 May 2004,5,196
Nyamuragira,2,29.2,-1.408,12 May 2004,6,285
Nyamuragira,2,29.2,-1.408,13 May 2004,6,107
Nyamuragira,2,29.2,-1.408,14 May 2004,6,98
Nyamuragira,2,29.2,-1.408,15 May 2004,6,133
Nyamuragira,2,29.2,-1.408,16 May 2004,6,118
Nyamuragira,2,29.2,-1.408,17 May 2004,6,138
Nyamuragira,2,29.2,-1.408,18 May 2004,5,47
Nyamuragira,2,29.2,-1.408,19 May 2004,5,76
Nyamuragira,2,29.2,-1.408,20 May 2004,6,46
Nyamuragira,2,29.2,-1.408,21 May 2004,4,35
Nyamuragira,2,29.2,-1.408,22 May 2004,4,71
Nyamuragira,2,29.2,-1.408,23 May 2004,6,85
Nyamuragira,2,29.2,-1.408,24 May 2004,5,66
Nyamuragira,2,29.2,-1.408,25 May 2004,5,92
Nyamuragira,2,29.2,-1.408,26 May 2004,5,35
Nyamuragira,2,29.2,-1.408,27 May 2004,5,36
Nyamuragira,2,29.2,-1.408,28 May 2004,8,53
Nyamuragira,2,29.2,-1.408,29 May 2004,4,50
Nyamuragira,2,29.2,-1.408,30 May 2004,6,94
