Volcano,Lon,Lat,Time Eruption,Max Plume Height km,SO2 kt
Nyamuragira,30,-1,23 Jul 2002,15,23
Witori,150,-6,2 Aug 2002,14,18
Ruang,125,2,26 Sep 2002,18,71
El Reventador,-78,0,5 Nov 2002,17,77
Nyiragongo,30,-1,9 Jan 2003,17,58
Lokon,125,1,9 Jan 2003,16,48
Anatahan,143,16,14 May 2003,16,13
Ulawun,150,-5,14 May 2003,17,9
Lewotobi,123,-8,13 Jun 2003,15,13
Kanlaon,123,10,13 Jun 2003,15,21
Soufriere Hills,-62,16,13 Jul 2003,18,68
Gamalama,128,1,17 Aug 2003,16,15
Japan/M,131,33,17 Aug 2003,16,13
Bezymianny/Klyuchev.,160,56,6 Sep 2003,14,8
Rabaul,150,-5,10 Nov 2003,16,43
Rabaul,150,-5,9 Jan 2004,17,15
Nyiragongo,30,-1,9 Jan 2004,17,62
Langila,150,-5,3 Feb 2004,17,16
Soufriere Hills,-62,16,4 Mar 2004,17,28
Nyamuragira,29,-1,12 Jun 2004,17,25
Awu,125,4,12 Jun 2004,15,22
Tengger C.,110,-8,12 Jun 2004,15,22
Pacaya,-91,15,17 Jul 2004,17,16
Galeras,-77,1,17 Jul 2004,17,36
Vanuatu,168,-16,30 Sep 2004,17,32
Rinjani,116,-8,30 Sep 2004,15,21
Kerinci,101,-2,30 Sep 2004,17,21
Manam,144,-4,30 Oct 2004,17,33
Soputan,125,1,30 Oct 2004,16,39
Reventador,-77,0, 4 Dec 2004,16,8
Manam,144,-4,28 Jan 2005,18,144
Anatahan,143,16,3 Apr 2005,16,141
Soufriere Hills,-62,16,23 Apr 2005,16,43
Fernadina,-91,0,18 May 2005,15,15
Vanuatu,168,-16,18 May 2005,15,8
Santa Ana,-90,14,12 Jun 2005,17,59
Ruang,113,-8,6 Aug 2005,15,59
Sierra Negra,-91,-1,25 Oct 2005,15,20
Dabbahu,40,-13,25 Oct 2005,15,27
Karthala,43,-10,24 Nov 2005,16,16
Galeras,-77,1,24 Nov 2005,16,14
Soputan,125,1,24 Dec 2005,16,33
Lopevi,168,-16,24 Dec 2005,16,18
Rabaul,152,-5,23 Jan 2006,19,225
Manam,144,-5,4 Mar 2006,17,72
Chile,-70,-40,4 Mar 2006,17,7
Cleveland,-170,53,14 Mar 2006,13,8
Ecuador,-78,-5,18 Apr 2006,17,16
Tinakula,166,-10,18 Apr 2006,17,21
Lascar,-68,-23,18 Apr 2006,17,3
Soufriere Hills,-62,16,23 May 2006,19,156
Kanlaon,123,10,2 Jul 2006,20,70
Tungurahua,-78,-2,16 Aug 2006,19,44
Ubinas,-71,-16,25 Oct 2006,17,14
Vanuatu,168,-16,25 Oct 2006,15,59
Ambrym,160,-10,9 Nov 2006,17,45
Nyamuragira,29,-1,29 Nov 2006,17,40
Mexico,-90,5,29 Nov 2006,15,30
Bulusan,125,13,24 Dec 2006,18,10
Soputan,125,1,24 Dec 2006,16,10
Karthala,43,-10,23 Jan 2007,17,20
Bulusan,125,13,23 Jan 2007,17,15
Lascar,-68,-23,23 Jan 2007,16,15
Shiveluch,160,57,23 Jan 2007,15,8
Vanuatu,168,-16,23 Jan 2007,16,43
Nev. d Huila,-70,0,22 Feb 2007,16,20
Etna,15,38,24 Mar 2007,15,11
Reventador,-78,0,24 Mar 2007,16,39
Ambrym,160,-16,24 Mar 2007,17,20
Pit. Fourn. Reunion,57,-20,8 Apr 2007,16,31
Ulawun,150,-5,3 May 2007,17,44
Papua,150,-10,13 May 2007,16,8
Kamchatka,150,50,13 May 2007,16,1
Nyiragongo,30,-1,13 May 2007,16,13
Ubinas,-71,-16,13 May 2007,16,8
Llaima,-70,-30,23 May 2007,18,14
Soputan,125,1,12 Jun 2007,16,44
Bezymianny,160,56,12 Jun 2007,14,10
Telica,-87,13,12 Jun 2007,15,13
Lengai,29,2,2 Jul 2007,16,17
Mexico M,-90,20,2 Jul 2007,15,11
Raung,110,-5,27 Jul 2007,15,14
Japan M,130,35,27 Jul 2007,15,14
Manda Hararo,40,12,11 Aug 2007,17,21
Java M,115,-5,11 Aug 2007,15,18
Mexico M,-90,20,20 Sep 2007,16,18
